site1,site2,site3
http://www.buzzfeed.com/emilyhennen/miley-cyrus-shocks-us-once-again#-646121437820297174,http://www.buzzfeed.com/meganm15/people-who-dont-get-how-lucky-they-are-to-be-meeting-a-sloth#3052860071661386557,http://www.buzzfeed.com/whitneyjefferson/jay-z-and-beyonce-are-going-vegan-for-22-days#-6926170022109230193
http://www.buzzfeed.com/mlew15/the-miley-cyrus-twelve-days-of-christmas-h0se#1611040490965648041,http://www.buzzfeed.com/mikehayes/people-are-tweeting-the-red-sox-are-winning-the-world-series#-509558383510783708,http://www.buzzfeed.com/falloutboy/16-reasons-why-you-need-to-watch-the-next-fall-out-gpq9#-646121437820297174
http://www.buzzfeed.com/ellievhall/this-touching-video-of-a-premature-babys-first-year-will-mak#-4177197833201190607,http://www.buzzfeed.com/alexnaidus/this-is-the-best-advice-to-a-homophobic-parent-thats-ever-be#3052858071653386552,http://www.foxnews.com/entertainment/2012/02/03/new-lol-film-clip-shows-miley-cyrus-in-first-onscreen-sex-scene/#2314062222118390709
http://www.buzzfeed.com/josephbernstein/this-is-the-most-uncomfortable-thing-in-the-history-of-the-i#-7839385854446376,http://thechive.com/2012/01/24/daily-afternoon-randomness-48-photos-59/#8354081563276704561,http://www.buzzfeed.com/adambvary/paul-walker-death-fast-and-furious-7#5850040316387904634
http://www.buzzfeed.com/kmallikarjuna/times-coulsons-superpower-was-sass#3052849071774386998,http://www.buzzfeed.com/falloutboy/16-reasons-why-you-need-to-watch-the-next-fall-out-gpq9#-5092792511260848169,http://www.buzzfeed.com/michaelrusch/unconscious-denver-nuggets-mascot-lowered-onto-game-floor-ho#-7839385854446376
http://www.buzzfeed.com/lyapalater/behold-the-5th-installment-of-celebrities-reading-mean-tweet#3052858071653386552,http://www.buzzfeed.com/erikmalinowski/sochi-will-be-the-most-expensive-olympics-ever-winter-or-sum#-509539383346783249,http://www.buzzfeed.com/emilyhennen/miley-cyrus-shocks-us-once-again#-1495230934636648966
http://www.buzzfeed.com/donnad/this-is-what-earth-will-look-like-if-all-the-ice-melts#-509539383362783442,http://www.buzzfeed.com/lyapalater/patrick-stewart-and-ian-mckellen-have-the-ultimate-friendsgi#3052849071774386998,http://www.buzzfeed.com/scott/livestream-ghost-hunt#-1495230934636648966
http://www.buzzfeed.com/mjkiebus/brady-manning-showdown-lives-up-to-hype-in-frigid-windy-inst#-4947165928161612849,http://www.buzzfeed.com/andrewkaczynski/norad-santa-wont-recognize-new-chinese-air-defense-zone#-4177197833201190607,http://www.buzzfeed.com/jpmoore/the-greatest-hits-of-the-hulk-hogan-sex-tape#-5092792511260848169
http://www.buzzfeed.com/amandaq6/11-signs-your-dad-is-clark-griswold-during-the-hol-dcqy#5264961599047502707,http://www.buzzfeed.com/cuties/how-to-host-an-elegant-all-dog-dinner-party#3052860071661386557,http://www.buzzfeed.com/bennyjohnson/23-conseils-pour-les-parents-qui-prennent-des-selfies#8354085563289704627
http://www.buzzfeed.com/whitneyjefferson/guy-fieri-poses-with-a-balloon-version-of-himself#2314053222252391239,http://www.buzzfeed.com/bennyjohnson/john-kerrys-bro-level-was-out-of-control-after-the-iran-deal#-7839385854446376,http://www.buzzfeed.com/daves4/james-franco-and-seth-rogen-recreation-of-kanye-wests-bound#6643496371307191848
http://www.buzzfeed.com/antwaunsargent/times-rihanna-proved-shes-the-worlds-fiercest-pot-head-in#3052858071653386599,http://www.buzzfeed.com/kmallikarjuna/these-terrible-toy-rip-offs-will-make-your-day#5850040316387904634,http://www.buzzfeed.com/katienotopoulos/what-is-a-furry#2314062222118390709
http://www.buzzfeed.com/jpmoore/matthew-broderick-will-reprise-his-role-as-ferris#8354081563276704561,http://www.buzzfeed.com/adambvary/marvel-studios-mega-franchise-hollywood#-7839385854446376,http://www.buzzfeed.com/erinchack/the-type-of-guy-kanye-west-is-according-to-twitter#5264961599047502707
http://www.buzzfeed.com/peterlauria/two-maps-that-explain-why-comcast-wants-to-buy-time-warner-c#-4177197833195190618,http://www.buzzfeed.com/kellyoakes/21-geeky-things-you-might-not-know-about-beer-explained-by-p#-4177197833205190584,http://thechive.com/2012/01/24/daily-afternoon-randomness-48-photos-59/#-5092792511260848169
http://www.buzzfeed.com/falloutboy/16-reasons-why-you-need-to-watch-the-next-fall-out-gpq9#2354031563215704591,http://www.buzzfeed.com/awesomer/the-greatest-comic-book-moments-of-2013#-509558383510783708,http://www.buzzfeed.com/ryanhatesthis/gamestop-employee-allegedly-fired-after-video-goes-viral-of#-509558383510783708
http://www.buzzfeed.com/jenmalise/21-ways-to-tell-if-youre-in-a-relationship-with-y-blt7#-509539383346783249,http://www.buzzfeed.com/tracyclayton/the-cutest-most-adorable-and-important-vine-you-will-see-for#8354085563289704627,http://www.buzzfeed.com/briangalindo/11-cool-90s-alt-rock-songs-to-get-you-in-the-holiday-spirit#-509531383351783522
http://www.buzzfeed.com/regajha/gifts-every-twentysomething-really-wants-to-receive#-509539383362783442,http://www.buzzfeed.com/michaelrusch/did-the-white-house-photographer-just-subweet-the-news-media#3052858071653386599,http://www.buzzfeed.com/bennyjohnson/23-conseils-pour-les-parents-qui-prennent-des-selfies#2314053222252391239
http://www.buzzfeed.com/buzz/just-launched-01-25-2012-14-7#8354075563298704734,http://www.buzzfeed.com/jacelacob/how-scandal-turned-into-an-exploration-of-free-will#5850040316387904634,http://www.buzzfeed.com/awesomer/the-most-touching-photos-ever-taken#-4177197833205190584
http://www.buzzfeed.com/danmartin/11-pictures-of-naked-men-you-can-gawp-at-for-a-good-cause#-1495230934636648966,http://www.buzzfeed.com/ellievhall/the-veronica-mars-movie-will-hit-theaters-on-march-14#3052858071645386583,http://www.buzzfeed.com/azafar/mapei-dont-wait-interview#-6926170022109230193
http://www.buzzfeed.com/jessicamisener/the-most-important-selfies-of-2013#5052861071787386893,http://www.buzzfeed.com/juliapugachevsky/what-you-need-to-know-about-the-new-carole-king-musical#5850040316387904634,http://www.buzzfeed.com/bennyjohnson/i-went-to-a-legal-cockfight-in-the-united-states-and-it-was#8354077563307704806
http://www.buzzfeed.com/matthewzeitlin/millennials-have-lots-of-student-debt-and-think-its-a-huge-p#-509531383351783522,http://www.buzzfeed.com/chelseamarshall/this-puppy-and-baby-are-the-most-adorable-nap-time-pals#-6926170022109230193,http://www.buzzfeed.com/jpmoore/the-greatest-hits-of-the-hulk-hogan-sex-tape#8354085563311704613
http://www.buzzfeed.com/jtes/westboro-baptist-churchs-vines-are-unexpectedly-hilarious#3052860071661386557,http://www.buzzfeed.com/perpetua/britney-spears-britney-jean-review#-4177197833195190618,http://www.buzzfeed.com/danmartin/11-pictures-of-naked-men-you-can-gawp-at-for-a-good-cause#2314062222118390709
http://www.buzzfeed.com/scott/livestream-ghost-hunt#2314053222242391279,http://www.buzzfeed.com/lyapalater/is-this-a-real-cher-tweet-or-computer-generated#6643496371307191848,http://www.buzzfeed.com/rsultan/web-videos-you-cant-miss-this-week-11-23#-509558383510783708
http://www.buzzfeed.com/peggy/landa-2#2314047222236391260,http://www.buzzfeed.com/donnad/best-disney-princess-fan-art-of-2013#-6926170022109230193,http://www.buzzfeed.com/charliewarzel/watch-in-real-time-as-31-million-americans-have-their-thanks#3052858071653386552
http://www.buzzfeed.com/briangalindo/23-signs-you-might-be-blanche-devereaux-from-the-golden-girl#-509558383510783708,http://www.buzzfeed.com/chelseamarshall/23-photos-that-prove-pug-shaming-is-the-best-kind-of-dog-sha#5264961599047502707,http://buzzworthy.mtv.com/2012/02/06/katharine-mcphee-gq-magazine-smash#2314047222236391260
http://www.foxnews.com/entertainment/2012/02/03/new-lol-film-clip-shows-miley-cyrus-in-first-onscreen-sex-scene/#-7273449828680868419,http://www.buzzfeed.com/chrisgeidner/feds-refuses-to-say-whether-office-is-protecting-trans#-4947165928161612849,http://www.buzzfeed.com/mollykayt/surprising-facts-about-thanksgiving-groceries#5850040316387904634
http://www.buzzfeed.com/maycie/fifth-graders-band-together-for-teammate-video#-509531383351783522,http://www.buzzfeed.com/kimberleydadds/tom-daley-has-posted-a-video-announcing-hes-got-a-boyfriend#-4947165928161612849,http://www.buzzfeed.com/emilyhennen/miley-cyrus-shocks-us-once-again#14848089204133937
