site1,site2,site3
http://www.buzzfeed.com/lilis2/reasons-only-you-can-understand-your-job#-3283411073837418383,http://www.buzzfeed.com/mbvd/moments-from-hawaiis-first-day-of-marriage-equality-aloha#-3305371722450757503,http://www.buzzfeed.com/jenlewis/things-you-probably-didnt-know-about-dirty-dancing#-3307455412911221034
http://www.buzzfeed.com/matthewzeitlin/jpmorgan-shows-exactly-how-to-not-use-twitter#-3333381108835343747,http://www.buzzfeed.com/markrandazzo/restoring-faith-in-humanity-gu3r#-3308422357516157492,http://www.buzzfeed.com/donnad/uncomfortably-sexual-disney-moments#-3323402959020151066
http://www.buzzfeed.com/kristinchirico/for-everyone-who-is-sexually-attracted-to-chubby-chris-pratt#-334951993205838315,http://www.buzzfeed.com/caraf5/28-ways-you-know-you-went-to-a-performing-arts-hig-eygo#-3380133631316930288,http://www.buzzfeed.com/javim2/20-life-lessons-from-modern-familys-gloria-pritch-bw9q#-3401985935573870395
http://www.buzzfeed.com/kristinchirico/things-you-didnt-know-about-scrooge-mcduck#-3485454186366427121,http://www.buzzfeed.com/regajha/defining-traits-of-your-favorite-teacher#-3489909432707803253,http://www.buzzfeed.com/arianelange/19-vintage-dogs-who-just-didnt-want-to-be-photographed#-3413847720856033120
http://www.buzzfeed.com/cuties/animals-that-will-always-be-fun-sized#-3537549527111290940,http://www.buzzfeed.com/mrloganrhoades/check-out-these-awesome-nba-illustrations-for-espn#-3533551489187800594,http://www.buzzfeed.com/lesterfeder/ikea-pulls-lesbian-couple-from-russian-edition-of-its-magazi#-3490201499528756022
http://www.buzzfeed.com/adambvary/vin-diesel-posts-brief-and-moving-tribute-to-paul-walker#-3587780755106611344,http://www.buzzfeed.com/caraf5/22-naughty-things-the-elf-on-a-shelf-is-doing-whil-eygo#-3553954114817174970,http://www.buzzfeed.com/summeranne/americans-try-to-place-european-countries-on-a-map#-3566975717963758140
http://www.buzzfeed.com/chelseamarshall/animals-who-understand-exactly-how-you-feel-post-thanksgi#-3612726115628836712,http://www.buzzfeed.com/sapna/13-ways-black-friday-2013-was-a-different-beast-from-years-p#-3679600040094198631,http://www.buzzfeed.com/summeranne/real-life-fox-and-the-hound-best-friends-will-melt-your-hear#-3596739394205423689
http://www.buzzfeed.com/chelseamarshall/21-bunny-tongues-that-will-melt-your-heart#-3755932028259763043,http://www.buzzfeed.com/meganm15/manny-and-frank-the-frenchie-brothers#-3717936097772262987,http://www.buzzfeed.com/jwherrman/the-amazon-drone-is-the-american-dream#-3701822391924621346
http://www.buzzfeed.com/adriancarrasquillo/16-things-we-learned-from-miley-cyrus-in-her-rolling-stone-i#-3802605022955793442,http://www.buzzfeed.com/rubycramer/top-hillary-clinton-fundraiser-in-talks-to-join-priorities-u#-3796351019635157635,http://www.buzzfeed.com/awesomer/pole-riders-game-battle#-3771779152387090832
http://www.buzzfeed.com/scott/3-slices-game-battle#-3859333101813043213,http://www.buzzfeed.com/sapna/thanksgiving-is-the-new-black-friday#-3849184827444320537,http://www.buzzfeed.com/mariahsummers/your-credit-card-is-more-valuable-than-you-think-if-you-have#-3832755821018270301
