site1,site2,site3
http://www.buzzfeed.com/gavon/haunting-photos-of-jfk-assassination-landmarks-then-and-now#8067556285734265531,http://www.buzzfeed.com/conzpreti/things-colombians-know-to-be-true#-6331565905466666018,http://www.buzzfeed.com/ludwigwittgenstein/fantastic-ways-to-distinguish-between-sense-and-nonsense#-564961941650455217
http://www.buzzfeed.com/leonoraepstein/disney-princesses-ranked-by-intelligence#-7608520285831616392,http://www.buzzfeed.com/simoncrerar/sizzling-photos-of-aussie-firefighters#2296675253551757422,http://www.buzzfeed.com/jessicamisener/13-reasons-the-95-cleveland-indians-were-the-greatest-team-e#8879086860779125130
http://www.buzzfeed.com/daves4/the-most-important-things-we-learned-in-2013#5355179123209680515,http://www.buzzfeed.com/whitneyjefferson/amanda-bynes-is-out-of-treatment-and-enrolling-in-school#2259216478206452719,http://www.buzzfeed.com/andrewkaczynski/rand-paul-defends-wikipedia-plagiarism#-4778612549848802279
http://www.buzzfeed.com/mjs538/cher-has-made-what-could-possibly-be-the-gayest-music-video#-6331537600650715051,http://www.buzzfeed.com/tracyclayton/reasons-that-penguins-are-hands-down-the-best-animal-on-e#-7604502287018845756,http://www.buzzfeed.com/arisaperstein/the-10-most-terrifying-moments-of-the-2013-macys-gguo#5974738506070865703
http://www.buzzfeed.com/krayford/the-25-most-sexual-lyrics-on-one-directions-new-a-ep5q#6823127880023602124,http://www.buzzfeed.com/rosiegray/aipac-appears-to-back-administration-line-on-iran-sanctions#367596593974347628,http://www.buzzfeed.com/tanyachen/ways-your-childhood-fantasy-of-living-like-the-jetsons-is#-5645681517953799135
http://www.buzzfeed.com/matthewzeitlin/heres-just-how-insane-bitcoins-recent-rise-is#6001795436387053595,http://www.buzzfeed.com/kimberleydadds/this-touching-moment-at-the-hunger-games-premiere-will-make#-7617638943015102392,http://www.buzzfeed.com/josephbernstein/it-costs-4600-to-buy-every-virtual-car-in-the-new-gran-turis#4708804860906000181
http://www.buzzfeed.com/adriancarrasquillo/16-things-we-learned-from-miley-cyrus-in-her-rolling-stone-i#-3802605022955793442,http://www.buzzfeed.com/joshrobin/bill-de-blasios-family-cl47#3628455690560541613,http://www.buzzfeed.com/kellyoakes/13-twitter-science-facts-debunked#2089492469668592837
http://www.buzzfeed.com/ryanhatesthis/theres-an-instagram-account-that-collects-the-worst-photos-o#-6331505173140370202,http://www.buzzfeed.com/bennyjohnson/breaking-down-the-most-important-white-house-picture-ever#6823828692960441698,http://www.buzzfeed.com/emofly/slab-pies#8070159592275279079
http://www.buzzfeed.com/tabathaleggett/two-students-dressed-as-the-911-twin-towers-for-halloween#5352040983108553661,http://www.buzzfeed.com/mikehayes/newtown-high-school-football-ends-season-dedicated-to-sandy#-5627186015111116605,http://www.buzzfeed.com/chelseamarshall/the-top-12-animal-scoots-that-defined-2013#7836720596281372825
http://www.buzzfeed.com/bml/12-reasons-the-nba-will-always-be-better-than-college-basket#-251312791817974728,http://www.buzzfeed.com/hunterschwarz/obama-touts-entertainment-industry-at-dreamworks-stop#-248266385033868079,http://www.buzzfeed.com/ryanhatesthis/the-most-important-twerking-moments-of-2013#8053803448675050
http://www.buzzfeed.com/lyapalater/things-miley-and-her-new-eyebrows-look-like#2028935707935414358,http://www.buzzfeed.com/kmallikarjuna/and-now-for-martin-freeman-as-james-bond#-4779093379766098792,http://www.buzzfeed.com/chrisgeidner/olympian-tom-daley-is-dating-oscar-winner-dustin-lance-black#6804405414472195945
http://www.buzzfeed.com/tonymerevick/illinois-gov-pat-quinn-marriage-equality-law-a-democratic-tr#2071257337724937112,http://www.buzzfeed.com/perpetua/nine-inch-nails-tension#-8709703020200816723,http://www.buzzfeed.com/rubycramer/top-hillary-clinton-fundraiser-in-talks-to-join-priorities-u#-3796351019635157635
http://www.buzzfeed.com/ryanhatesthis/someone-made-a-video-game-about-sandy-hook-where-you-play-as#8862143615654864023,http://www.buzzfeed.com/tonymerevick/advocates-athletes-launch-clothing-line-to-challenge-russian#5956311857165597973,http://www.buzzfeed.com/perpetua/classic-albums-came-out-on-the-same-day#2288920561644302304
http://www.buzzfeed.com/skarlan/finally-a-fashion-photography-book-for-butch-lesbians#7852582131880881809,http://www.buzzfeed.com/mikespohr/onesies-for-the-coolest-baby-you-know#-7320524329887806409,http://www.buzzfeed.com/johnstanton/irish-government-launches-campaign-for-new-immigration-law-i#8164995067997161386
http://www.buzzfeed.com/ellievhall/trent-reznor-facetimes-dying-fan-during-nine-inch-nails-conc#7833671969355420052,http://www.buzzfeed.com/shani/black-directors-best-man-holiday-12-years-slave#3628732404735018672,http://www.buzzfeed.com/miriamelder/watch-this-indian-actress-shut-down-a-female-journalist-for#-8686174447235761984
http://www.buzzfeed.com/awesomer/pole-riders-game-battle#-3771779152387090832,http://www.buzzfeed.com/jordanzakarin/radio-serials-podcasts-revival#-7296962540320669798,http://www.buzzfeed.com/tanyachen/truths-of-being-raised-in-a-big-city#4718537060594611540
http://www.buzzfeed.com/adamdavis/show-us-the-last-thing-you-searched-for-on-your-phone#8144019044680647137,http://www.buzzfeed.com/juliapugachevsky/reasons-why-lena-dunhams-instagram-should-be-your-new-style#2024224884467415990,http://www.buzzfeed.com/peggy/brilliant-packaging-designs-that-will-blow-your-mind#-8702496308746528835
http://www.buzzfeed.com/adamellis/the-weirdest-themed-restaurants-in-the-world#2096277782800793726,http://www.buzzfeed.com/merfae/the-complete-stages-of-the-midnight-due-date-gyp9#8866939986533757225,http://www.buzzfeed.com/rosiegray/media-figures-stand-behind-bloomberg-in-china-scandal#2012943590758534296
http://www.buzzfeed.com/notmonroe/19-ways-to-flavor-popcorn-gg32#8135290078952364796,http://www.buzzfeed.com/matthewzeitlin/this-is-what-the-ten-most-expensive-real-estate-markets-look#5323740434792393229,http://www.buzzfeed.com/briangalindo/21-vintage-postcards-of-krampus-that-will-haunt-your-dreams#-2495858108007478712
